year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2011,Australian Grand Prix,Red Bull,5,23.763,-0.659,35.0,35.0,1.0,1
2011,Australian Grand Prix,McLaren,5,21.855,-2.567,26.0,26.0,2.0,1
2011,Australian Grand Prix,Ferrari,6,24.1,-0.322,18.0,18.0,3.0,1
2011,Australian Grand Prix,Renault,4,24.578,0.156,15.0,15.0,4.0,1
2011,Australian Grand Prix,Toro Rosso,5,25.23,0.808,4.0,4.0,5.0,1
2011,Australian Grand Prix,Force India,4,24.761,0.339,3.0,3.0,6.0,0
2011,Australian Grand Prix,Lotus,3,24.871,0.449,0.0,0.0,7.0,0
2011,Australian Grand Prix,Virgin,3,25.166,0.744,0.0,0.0,8.0,0
2011,Australian Grand Prix,Williams,4,26.175,1.753,0.0,0.0,9.0,0
2011,Australian Grand Prix,Mercedes,3,24.242,-0.18,0.0,0.0,10.0,0
2011,Australian Grand Prix,Sauber,3,23.898,-0.524,0.0,,,0
2011,Malaysian Grand Prix,Red Bull,7,22.288,-2.76,37.0,72.0,1.0,1
2011,Malaysian Grand Prix,McLaren,7,22.909,-2.139,22.0,48.0,2.0,1
2011,Malaysian Grand Prix,Ferrari,7,24.671,-0.377,18.0,36.0,3.0,1
2011,Malaysian Grand Prix,Renault,6,24.046,-1.002,15.0,30.0,4.0,1
2011,Malaysian Grand Prix,Sauber,3,23.44,-1.608,6.0,6.0,5.0,1
2011,Malaysian Grand Prix,Toro Rosso,5,25.407,0.359,0.0,4.0,6.0,0
2011,Malaysian Grand Prix,Force India,6,24.243,-0.805,1.0,4.0,7.0,0
2011,Malaysian Grand Prix,Mercedes,6,22.856,-2.192,2.0,2.0,8.0,0
2011,Malaysian Grand Prix,Lotus,3,25.979,0.931,0.0,0.0,9.0,0
2011,Malaysian Grand Prix,Virgin,4,24.928,-0.12,0.0,0.0,10.0,0
2011,Malaysian Grand Prix,Williams,2,28.74,3.692,0.0,0.0,11.0,0
2011,Malaysian Grand Prix,HRT,3,31.064,6.016,0.0,0.0,12.0,0
2011,Chinese Grand Prix,Red Bull,5,21.839,-0.491,33.0,105.0,1.0,1
2011,Chinese Grand Prix,McLaren,6,21.292,-1.038,37.0,85.0,2.0,1
2011,Chinese Grand Prix,Ferrari,4,21.642,-0.688,14.0,50.0,3.0,1
2011,Chinese Grand Prix,Renault,4,22.006,-0.324,2.0,32.0,4.0,1
2011,Chinese Grand Prix,Mercedes,6,21.23,-1.1,14.0,16.0,5.0,1
2011,Chinese Grand Prix,Sauber,6,21.901,-0.429,1.0,7.0,6.0,0
2011,Chinese Grand Prix,Toro Rosso,4,22.77,0.44,0.0,4.0,7.0,0
2011,Chinese Grand Prix,Force India,5,22.792,0.462,0.0,4.0,8.0,0
2011,Chinese Grand Prix,Lotus,4,22.416,0.086,0.0,0.0,9.0,0
2011,Chinese Grand Prix,Williams,5,23.206,0.876,0.0,0.0,10.0,0
2011,Chinese Grand Prix,Virgin,5,24.824,2.494,0.0,0.0,11.0,0
2011,Chinese Grand Prix,HRT,4,22.044,-0.286,0.0,0.0,12.0,0
2011,Turkish Grand Prix,Red Bull,8,20.751,-2.358,43.0,148.0,1.0,1
2011,Turkish Grand Prix,McLaren,7,23.58,0.471,20.0,105.0,2.0,1
2011,Turkish Grand Prix,Ferrari,8,22.453,-0.656,15.0,65.0,3.0,1
2011,Turkish Grand Prix,Renault,8,21.652,-1.457,10.0,42.0,4.0,1
2011,Turkish Grand Prix,Mercedes,8,22.103,-1.006,10.0,26.0,5.0,1
2011,Turkish Grand Prix,Sauber,7,23.425,0.316,1.0,8.0,6.0,0
2011,Turkish Grand Prix,Toro Rosso,7,22.055,-1.054,2.0,6.0,7.0,0
2011,Turkish Grand Prix,Force India,7,21.105,-2.004,0.0,4.0,8.0,0
2011,Turkish Grand Prix,Lotus,6,22.625,-0.484,0.0,0.0,9.0,0
2011,Turkish Grand Prix,Williams,7,21.351,-1.758,0.0,0.0,10.0,0
2011,Turkish Grand Prix,Virgin,2,23.808,0.699,0.0,0.0,11.0,0
2011,Turkish Grand Prix,HRT,7,32.395,9.286,0.0,0.0,12.0,0
2011,Spanish Grand Prix,Red Bull,8,20.26,-1.401,37.0,185.0,1.0,1
2011,Spanish Grand Prix,McLaren,7,20.335,-1.326,33.0,138.0,2.0,1
2011,Spanish Grand Prix,Ferrari,7,20.968,-0.693,10.0,75.0,3.0,1
2011,Spanish Grand Prix,Renault,6,21.983,0.322,4.0,46.0,4.0,1
2011,Spanish Grand Prix,Mercedes,6,20.266,-1.395,14.0,40.0,5.0,1
2011,Spanish Grand Prix,Sauber,6,22.177,0.516,3.0,11.0,6.0,0
2011,Spanish Grand Prix,Toro Rosso,7,21.737,0.076,0.0,6.0,7.0,0
2011,Spanish Grand Prix,Force India,6,20.84,-0.821,0.0,4.0,8.0,0
