raceId,constructorId,mean_pit_stop
841,1,21.855
841,3,26.175
841,4,24.578
841,5,25.23
841,6,24.1
841,9,23.763
841,10,24.761
841,15,23.898
841,131,24.242
841,166,25.166
841,205,24.871
842,1,22.909
842,3,28.74
842,4,24.046
842,5,25.407
842,6,24.671
842,9,22.288
842,10,24.243
842,15,23.44
842,131,22.856
842,164,31.064
842,166,24.928
842,205,25.979
843,1,21.292
843,3,23.206
843,4,22.006
843,5,22.77
843,6,21.642
843,9,21.839
843,10,22.792
843,15,21.901
843,131,21.23
843,164,22.044
843,166,24.824
843,205,22.416
844,1,23.58
844,3,21.351
844,4,21.652
844,5,22.055
844,6,22.453
844,9,20.751
844,10,21.105
844,15,23.425
844,131,22.103
844,164,32.395
844,166,23.808
844,205,22.625
845,1,20.335
845,3,22.951
845,4,21.983
845,5,21.737
845,6,20.968
845,9,20.26
845,10,20.84
845,15,22.177
845,131,20.266
845,164,24.186
845,166,22.235
845,205,21.997
846,1,25.69
846,3,25.938
846,4,26.996
846,5,26.144
846,6,27.783
846,9,30.847
846,10,28.894
846,15,28.642
846,131,27.675
846,164,32.18
846,166,26.956
846,205,26.004
847,1,23.511
847,3,24.847
847,4,23.61
847,5,24.768
847,6,24.986
847,9,24.012
847,10,22.846
847,15,25.658
847,131,23.237
847,164,30.806
847,166,24.864
847,205,36.048
848,1,20.565
848,3,21.384
848,4,21.708
848,5,21.054
848,6,21.47
848,9,20.488
848,10,20.742
848,15,21.992
848,131,23.088
848,164,24.704
848,166,22.031
848,205,22.491
849,1,24.192
849,3,24.839
849,4,24.55
849,5,24.928
849,6,24.223
849,9,25.46
849,10,30.071
849,15,27.751
849,131,27.153
849,164,26.24
849,166,26.136
850,1,20.708
850,3,21.329
850,4,21.01
850,5,22.752
850,6,20.479
850,9,20.474
850,10,21.982
850,15,22.76
850,131,20.394
850,164,22.807
850,166,21.964
850,205,23.986
851,1,20.233
851,3,22.642
851,4,23.249
851,5,21.967
851,6,21.65
851,9,20.541
851,10,21.398
851,15,20.677
851,131,21.089
851,164,23.437
851,166,26.048
851,205,22.184
852,1,22.834
852,3,26.955
852,4,21.779
852,6,21.569
852,9,21.011
852,10,21.61
852,15,21.899
852,131,21.192
852,164,25.502
852,166,23.331
852,205,23.299
853,1,21.928
853,3,24.562
853,4,22.651
853,5,23.147
853,6,22.124
853,9,21.751
853,10,22.47
853,15,25.245
853,131,22.362
853,164,517.747
853,166,23.966
853,205,24.93
854,1,29.865
854,3,30.51
854,4,32.284
854,5,30.674
854,6,30.726
854,9,30.618
854,10,31.151
854,15,30.301
854,131,29.662
854,164,36.153
854,166,31.678
854,205,31.76
855,1,21.335
855,3,21.697
855,4,22.632
855,5,22.075
855,6,21.137
855,9,21.72
855,10,21.695
855,15,23.17
855,131,21.028
855,164,24.233
855,166,23.284
855,205,21.915
856,1,20.738
856,3,20.331
856,4,21.511
856,5,22.179
856,6,21.585
856,9,20.446
856,10,22.468
856,15,22.209
856,131,20.367
856,164,23.465
856,166,23.583
856,205,22.478
857,1,22.965
857,3,27.994
857,4,23.381
857,5,22.84
857,6,21.603
857,9,21.374
857,10,22.012
857,15,23.732
857,131,21.626
857,164,28.746
857,166,24.179
857,205,26.401
858,1,20.0
858,3,19.463
858,4,18.975
858,5,32.468
858,6,20.508
858,9,21.569
858,10,20.395
858,15,21.894
858,131,19.998
858,164,22.044
858,166,21.176
858,205,20.853
859,1,21.134
859,3,21.832
859,4,21.057
859,5,22.376
859,6,20.988
859,9,21.033
859,10,21.129
859,15,22.476
859,131,21.813
859,164,23.01
859,166,22.618
859,205,22.103
860,1,23.109
860,3,25.171
860,5,25.339
860,6,22.178
860,9,23.651
860,10,24.756
860,15,24.463
860,131,23.11
860,206,28.549
860,207,25.611
860,208,24.096
861,1,26.538
861,3,25.077
861,5,23.971
861,6,24.081
861,9,24.671
861,10,23.297
861,15,25.462
861,131,24.024
861,164,29.526
861,206,29.038
861,207,28.586
861,208,25.857
862,1,21.571
862,3,21.326
862,5,22.638
862,6,20.151
862,9,20.783
862,10,23.707
862,15,21.986
862,131,21.168
862,164,23.803
862,206,20.542
862,207,25.385
862,208,22.486
863,1,24.929
863,3,22.742
863,5,23.163
863,6,22.701
863,9,22.187
863,10,22.394
863,15,23.797
863,131,22.216
863,164,24.859
863,206,25.006
863,207,23.597
863,208,22.713
864,1,20.645
864,3,21.222
864,5,20.794
864,6,19.332
864,9,20.566
864,10,20.521
864,15,22.567
864,131,20.218
864,164,21.909
864,206,20.985
864,207,22.479
864,208,20.604
865,1,25.484
865,3,26.41
865,5,25.852
865,6,25.106
865,9,25.322
865,10,26.044
865,15,24.578
865,131,24.996
865,164,27.14
865,206,29.752
865,207,32.25
865,208,26.38
866,1,21.772
866,3,22.742
866,5,20.666
866,6,21.125
866,9,21.63
866,10,22.867
866,15,21.43
866,131,21.683
866,206,24.406
866,207,21.682
866,208,21.682
867,1,22.58
867,3,21.492
867,5,21.703
867,6,23.441
867,9,20.212
867,10,20.608
867,15,22.682
867,131,20.314
867,164,22.066
867,206,27.237
867,207,23.274
867,208,21.661
868,1,24.85
868,3,27.813
868,5,25.982
868,6,25.201
868,9,25.545
868,10,28.098
868,15,30.415
868,131,27.552
868,164,28.522
868,206,25.971
868,207,26.315
868,208,27.76
869,1,18.437
869,3,23.67
869,5,18.728
869,6,19.476
869,9,17.728
869,10,18.192
869,15,18.606
869,131,18.27
869,164,19.858
869,206,19.391
869,207,20.412
869,208,22.327
870,1,19.668
870,3,18.816
870,5,19.947
870,6,19.733
870,9,19.308
870,10,20.539
870,15,20.209
870,131,19.204
870,164,21.875
870,206,21.003
870,207,20.896
870,208,20.56
871,1,19.668
871,3,21.854
871,5,20.771
871,6,20.678
871,9,20.701
871,10,21.341
871,15,23.674
871,131,21.024
871,164,24.535
871,206,21.578
871,207,30.322
871,208,20.336
872,1,22.056
872,3,22.59
872,5,21.72
872,6,21.838
872,9,19.622
872,10,22.468
872,15,22.673
872,131,22.189
872,164,27.617
872,206,24.353
872,207,22.41
872,208,21.846
873,1,29.602
873,3,30.597
873,5,30.294
873,6,29.913
873,9,29.648
873,10,31.326
873,15,31.588
873,131,30.112
873,164,35.551
873,206,31.118
873,207,32.688
873,208,30.718
874,1,20.568
874,3,21.207
874,5,21.855
874,6,20.857
874,9,23.502
874,10,21.276
874,15,20.939
874,131,20.511
874,164,24.0
874,206,26.508
874,207,20.496
874,208,25.078
875,1,19.954
875,3,21.945
875,5,20.752
875,6,20.37
875,9,19.764
875,10,21.032
875,15,23.041
875,131,20.182
875,164,22.749
875,206,21.537
875,207,21.811
875,208,20.96
876,1,21.181
876,3,24.034
876,5,23.131
876,6,20.95
876,9,20.758
876,10,22.801
876,15,22.857
876,131,22.616
876,164,24.187
876,206,24.998
876,207,22.706
876,208,21.19
877,1,19.455
877,3,21.655
877,5,20.389
877,6,19.476
877,9,21.315
877,10,22.255
877,15,24.826
877,131,23.416
877,164,22.272
877,206,20.912
877,207,21.9
877,208,22.451
878,1,21.13
878,3,22.242
878,5,22.651
878,6,22.98
878,9,20.904
878,10,22.347
878,15,23.079
878,131,21.635
878,164,24.648
878,206,22.736
878,207,22.738
878,208,23.015
879,1,22.256
879,5,22.451
879,6,22.34
879,9,22.652
879,10,21.636
879,15,28.114
879,131,24.174
879,164,25.9
879,206,23.33
879,207,25.31
879,208,25.527
880,1,22.463
880,3,23.476
880,5,23.707
880,6,21.646
880,9,22.263
880,10,22.876
880,15,22.316
880,131,22.056
880,206,26.629
880,207,23.752
880,208,22.359
881,1,33.356
881,3,25.99
881,5,26.561
881,6,21.642
881,9,21.014
881,10,73.518
881,15,22.804
881,131,21.955
881,206,24.009
881,207,26.31
881,208,22.798
882,1,19.996
882,3,21.436
882,5,21.256
882,6,20.247
882,9,21.568
882,10,20.25
882,15,21.041
882,131,20.914
882,206,22.977
882,207,21.243
882,208,20.409
883,1,21.695
883,3,23.739
883,5,27.166
883,6,22.44
883,9,21.484
883,10,23.105
883,15,23.093
883,131,21.591
883,206,23.73
883,207,23.506
